years,usd2010,pct_foreign,pct_unreported,dif_msy,pct_msy,pct_avg,score
1988,1513684481.97,28.729962671199715,46.22642952737165,212359870.0899999,12.74580761029123,22.63876300588901,77.36123699411098
1989,1591086281.29,36.38430036034048,45.53267040443769,289761669.40999985,17.391452017612547,26.818265363523164,73.18173463647683
1990,1597634075.0900002,40.32177341200617,42.24230076852748,296309463.21000004,17.784449621214822,27.183484608835624,72.81651539116437
1991,1106892966.93,46.86910259008657,47.24708582395371,194431644.95000005,11.669758221432684,25.825092615667664,74.17490738433233
1992,2967440063.98,34.95276685956652,50.706293626429286,1666115452.1,100,77.13181209719917,22.868187902800827
1993,2568825874.7599998,32.231842809000625,49.28180041118109,1267501262.8799996,76.07523603976063,61.947870267892725,38.052129732107275
1994,1639497616.43,41.69075810588526,57.81322881907766,338173004.54999995,20.29709310502829,32.07905324800956,67.92094675199044
1995,1973631167.8,33.5977404676801,57.02287515910106,672306555.9199998,40.35173883494168,42.33516642632124,57.66483357367876
1996,2232327566.1600003,29.239240562510325,58.88534083136757,931002954.2800002,55.87865793493173,51.15211103973461,48.84788896026539
1997,1922300514.49,33.051319355421036,61.69913430079197,620975902.6099999,37.27088070801525,41.31261915605175,58.68738084394825
1998,1721198652.6499999,26.052003784830152,61.04973117299895,419874040.76999974,25.200777067446523,32.540813232033734,67.45918676796626
1999,1708240223.25,31.51205828949003,68.63172807624615,406915611.3699999,24.42301407487198,34.68256571807042,65.31743428192958
2e3,1301324611.88,36.75689944756948,63.346363844535944,0,0,20.020652658421085,79.97934734157892
2001,1367192404.19,39.1117285867073,60.548724154186964,65867792.30999994,3.9533750333435216,22.304115568184965,77.69588443181503
2002,1574361775.42,47.58726180336325,65.30655183045091,273037163.53999996,16.38764967912994,32.4113525342408,67.58864746575921
2003,1647224808.36,35.405323686892096,56.613749918737824,345900196.4799998,20.76087800782481,30.86034152582087,69.13965847417913
