years,taxon,usd2010
1983,atlantic seabob,505489096.454
1984,atlantic seabob,599975480.893
1985,atlantic seabob,572800720.963
1986,atlantic seabob,381383345.688
1987,atlantic seabob,451177970.801
1988,atlantic seabob,329266113.677
1989,atlantic seabob,260970928.836
1990,atlantic seabob,150681868.696
1991,atlantic seabob,132550726.187
1992,atlantic seabob,163148193.61
1993,atlantic seabob,159165306.179
1994,atlantic seabob,209961239.184
1995,atlantic seabob,222742578.919
1996,atlantic seabob,208306242.311
1997,atlantic seabob,299447675.145
1998,atlantic seabob,233237072.6
1999,atlantic seabob,125644971.798
2000,atlantic seabob,146010541.315
2001,atlantic seabob,150439146.767
2002,atlantic seabob,142055146.188
2003,atlantic seabob,134250771.323
2004,atlantic seabob,153209349.593
2005,atlantic seabob,260340870.151
2006,atlantic seabob,198989826.216
2007,atlantic seabob,223567282.31
2008,atlantic seabob,250128816.733
2009,atlantic seabob,202110377.628
2010,atlantic seabob,244085467.289
2011,atlantic seabob,243553554.346
2012,atlantic seabob,294504344.09
2013,atlantic seabob,239948026.402
2014,atlantic seabob,244297302.943
2015,atlantic seabob,195899448.563
2016,atlantic seabob,189575893.791
1950,yellowfin tuna,674.252
1951,yellowfin tuna,623.679
1952,yellowfin tuna,529.111
1953,yellowfin tuna,628.854
1954,yellowfin tuna,500.626
1955,yellowfin tuna,487.301
1956,yellowfin tuna,3886147.413
1957,yellowfin tuna,439381769.422
1958,yellowfin tuna,3389852966.308
1959,yellowfin tuna,364703410.078
1960,yellowfin tuna,7379231839.673
1961,yellowfin tuna,194834.4
1962,yellowfin tuna,5069610.913
1963,yellowfin tuna,6928500.787
1964,yellowfin tuna,2571167.609
1965,yellowfin tuna,1444204.194
1966,yellowfin tuna,1548862.276
1967,yellowfin tuna,1194525.918
1968,yellowfin tuna,7234497.447
1969,yellowfin tuna,20704503.605
1970,yellowfin tuna,623098.972
1971,yellowfin tuna,1158731.925
1972,yellowfin tuna,117482.179
1973,yellowfin tuna,3020200.569
1974,yellowfin tuna,3482321.661
1975,yellowfin tuna,3286448.822
1976,yellowfin tuna,3670264.148
1977,yellowfin tuna,2636910.447
1978,yellowfin tuna,1958884.273
1979,yellowfin tuna,3512747.956
1980,yellowfin tuna,7125320.152
1981,yellowfin tuna,5085878.84
1982,yellowfin tuna,6092507.778
1983,yellowfin tuna,9270262.135
1984,yellowfin tuna,5274246.453
1985,yellowfin tuna,9410588.012
1986,yellowfin tuna,3783563.95
1987,yellowfin tuna,5877079.981
1988,yellowfin tuna,7030175.907
1989,yellowfin tuna,7470002.211
1990,yellowfin tuna,3970143.396
1991,yellowfin tuna,4693477.43
1992,yellowfin tuna,21772802.662
1993,yellowfin tuna,28749392.914
1994,yellowfin tuna,21149567.806
1995,yellowfin tuna,16108613.38
1996,yellowfin tuna,8576287.52
1997,yellowfin tuna,6952963.12
1998,yellowfin tuna,7248624.452
1999,yellowfin tuna,16473573.089
2000,yellowfin tuna,36151812.215
2001,yellowfin tuna,22660030.813
2002,yellowfin tuna,53028597.17
2003,yellowfin tuna,18931362.149
2004,yellowfin tuna,46353575.678
2005,yellowfin tuna,36355661.399
2006,yellowfin tuna,14860735.214
2007,yellowfin tuna,36464209.269
2008,yellowfin tuna,17460881.178
2009,yellowfin tuna,21317104.327
2010,yellowfin tuna,20629805.871
2011,yellowfin tuna,33861209.729
2012,yellowfin tuna,56987505.34
2013,yellowfin tuna,58173504.989
2014,yellowfin tuna,62478419.985
2015,yellowfin tuna,125041234.73
2016,yellowfin tuna,123009037.744
1950,"sea catfishes, coblers",66193237.107
1951,"sea catfishes, coblers",66337869.251
1952,"sea catfishes, coblers",83091569.577
1953,"sea catfishes, coblers",101846293.279
1954,"sea catfishes, coblers",88442252.739
1955,"sea catfishes, coblers",92420139.374
1956,"sea catfishes, coblers",85584589.735
1957,"sea catfishes, coblers",90671799.962
1958,"sea catfishes, coblers",88531255.633
1959,"sea catfishes, coblers",173497467.68
1960,"sea catfishes, coblers",75507369.65
1961,"sea catfishes, coblers",140780456.781
1962,"sea catfishes, coblers",313203791.027
1963,"sea catfishes, coblers",196395328.326
1964,"sea catfishes, coblers",243699213.267
1965,"sea catfishes, coblers",283538691.529
1966,"sea catfishes, coblers",467478369.15
1967,"sea catfishes, coblers",273412686.873
1968,"sea catfishes, coblers",209800160.355
1969,"sea catfishes, coblers",255008705.879
1970,"sea catfishes, coblers",329883417.49
1971,"sea catfishes, coblers",482571606.741
1972,"sea catfishes, coblers",499257169.903
1973,"sea catfishes, coblers",533974284.554
1974,"sea catfishes, coblers",271886094.547
1975,"sea catfishes, coblers",294433396.201
1976,"sea catfishes, coblers",225310779.288
1977,"sea catfishes, coblers",237600768.712
1978,"sea catfishes, coblers",270406335.365
1979,"sea catfishes, coblers",163950172.534
1980,"sea catfishes, coblers",181712468.11
1981,"sea catfishes, coblers",132282062.376
1982,"sea catfishes, coblers",154995359.585
1983,"sea catfishes, coblers",165751716.145
1984,"sea catfishes, coblers",117522246.203
1985,"sea catfishes, coblers",110548794.111
1986,"sea catfishes, coblers",100152768.388
1987,"sea catfishes, coblers",89496596.83
1988,"sea catfishes, coblers",91082054.032
1989,"sea catfishes, coblers",101770539.593
1990,"sea catfishes, coblers",91092228.497
1991,"sea catfishes, coblers",83800492.976
1992,"sea catfishes, coblers",76122523.544
1993,"sea catfishes, coblers",67664954.85
1994,"sea catfishes, coblers",59221516.871
1995,"sea catfishes, coblers",49129183.046
1996,"sea catfishes, coblers",46129024.066
1997,"sea catfishes, coblers",49466544.175
1998,"sea catfishes, coblers",92062544.776
1999,"sea catfishes, coblers",65185653.794
2000,"sea catfishes, coblers",95683091.405
2001,"sea catfishes, coblers",158578746.693
2002,"sea catfishes, coblers",137561507.76
2003,"sea catfishes, coblers",93525445.634
2004,"sea catfishes, coblers",90880212.237
2005,"sea catfishes, coblers",138075278.506
2006,"sea catfishes, coblers",99034028.23
2007,"sea catfishes, coblers",75532352.369
2008,"sea catfishes, coblers",96086028.085
2009,"sea catfishes, coblers",103313336.287
2010,"sea catfishes, coblers",94215896.284
2011,"sea catfishes, coblers",91980551.466
2012,"sea catfishes, coblers",106373383.657
2013,"sea catfishes, coblers",83099885.488
2014,"sea catfishes, coblers",114252528.931
2015,"sea catfishes, coblers",93390628.557
2016,"sea catfishes, coblers",93142530.968
1950,acoupa weakfish,29980.17
1951,acoupa weakfish,25017.596
1952,acoupa weakfish,24987.986
1953,acoupa weakfish,26956.492
1954,acoupa weakfish,19826.699
1955,acoupa weakfish,21184.083
1956,acoupa weakfish,25258.521
1957,acoupa weakfish,36634.37
1958,acoupa weakfish,30661.171
1959,acoupa weakfish,36943.628
1960,acoupa weakfish,37064.275
1961,acoupa weakfish,49774.541
1962,acoupa weakfish,159767.112
1963,acoupa weakfish,108652.962
1964,acoupa weakfish,91933.831
1965,acoupa weakfish,101439.907
1966,acoupa weakfish,98290.319
1967,acoupa weakfish,122781.52
1968,acoupa weakfish,177656.839
1969,acoupa weakfish,212247.812
1970,acoupa weakfish,234299.303
1971,acoupa weakfish,306609.349
1972,acoupa weakfish,391714.052
1973,acoupa weakfish,508894.3
1974,acoupa weakfish,683346.64
1975,acoupa weakfish,1133983.4
1976,acoupa weakfish,332412.488
1977,acoupa weakfish,451418.263
1978,acoupa weakfish,889160.968
1979,acoupa weakfish,529932.637
1980,acoupa weakfish,1066297.992
1981,acoupa weakfish,1220225.814
1982,acoupa weakfish,1883043.999
1983,acoupa weakfish,2769930.693
1984,acoupa weakfish,2934000.17
1985,acoupa weakfish,3753373.501
1986,acoupa weakfish,5265908.23
1987,acoupa weakfish,9484370.789
1988,acoupa weakfish,9984527.446
1989,acoupa weakfish,8704286.178
1990,acoupa weakfish,11055354.898
1991,acoupa weakfish,13707950.951
1992,acoupa weakfish,16652348.861
1993,acoupa weakfish,19789512.309
1994,acoupa weakfish,23366626.963
1995,acoupa weakfish,16726525.125
1996,acoupa weakfish,17071667.245
1997,acoupa weakfish,61790424.899
1998,acoupa weakfish,35153699.886
1999,acoupa weakfish,300312970.414
2000,acoupa weakfish,605560562.972
2001,acoupa weakfish,511152612.221
2002,acoupa weakfish,779983552.084
2003,acoupa weakfish,705885758.57
2004,acoupa weakfish,464943238.249
2005,acoupa weakfish,445975596.067
2006,acoupa weakfish,412824627.284
2007,acoupa weakfish,427180943.663
2008,acoupa weakfish,438708278.517
2009,acoupa weakfish,452642796.857
2010,acoupa weakfish,411510157.193
2011,acoupa weakfish,410673090.214
2012,acoupa weakfish,486323152.065
2013,acoupa weakfish,362227309.024
2014,acoupa weakfish,527790232.314
2015,acoupa weakfish,426462673.82
2016,acoupa weakfish,443867537.561
1950,others,208492904.28
1951,others,259840663.62
1952,others,282246799.45
1953,others,282810365.14
1954,others,308488528.34
1955,others,402886837.77
1956,others,525321945.09
1957,others,697913530.76
1958,others,563178018.37
1959,others,656943214.59
1960,others,1017915392.97
1961,others,1850400034.76
1962,others,2072745885.89
1963,others,1031679643.98
1964,others,3223299468.76
1965,others,4252054884.55
1966,others,5080492311.52
1967,others,6952289443.07
1968,others,6512389837.65
1969,others,4555194329.19
1970,others,8234234229.35
1971,others,7668633640.19
1972,others,12770575697.34
1973,others,11980815636.26
1974,others,10436504625.03
1975,others,7621411604.86
1976,others,5463121955.84
1977,others,3986688057.88
1978,others,3504632678.96
1979,others,9629061484.9
1980,others,6048008806.83
1981,others,7338121959.92
1982,others,6674124157.09
1983,others,5195734523.18
1984,others,7270420743.9
1985,others,8741370697.67
1986,others,7359058911.46
1987,others,4861300700.79
1988,others,5624324937.85
1989,others,4233218352.96
1990,others,5489527125.85
1991,others,5160883061.01
1992,others,5327799921.35
1993,others,5651425466.47
1994,others,5695643506.09
1995,others,4766649601.83
1996,others,3337688949.09
1997,others,3503791210.4
1998,others,3015591395.57
1999,others,3928017479.13
2000,others,5238630735.49
2001,others,4409871712.04
2002,others,5085904210.92
2003,others,4964861942.8
2004,others,4285504897.58
2005,others,4651430188.37
2006,others,4858512945.57
2007,others,5463331658.72
2008,others,4982735390.19
2009,others,4944386254.63
2010,others,4152311945.85
2011,others,3772798109.53
2012,others,4992545474.9
2013,others,21108105979.53
2014,others,28850879461.87
2015,others,3641681014.63
2016,others,3389515024.98
